billing	card_id	codex_exit	model	usd
subscription	6a83db64-806f0fdb	0	gpt-5.6-terra	0.0
subscription	6a83db8b-d85fcedc	0	gpt-5.6-terra	0.0
subscription	6a83e229-486531fa	0	gpt-5.6-terra	0.0
subscription	6a83ea2f-59734439	1	gpt-5.6-terra	0.0
subscription	6a83ea89-bda9d71a	0	gpt-5.6-terra	0.0
subscription	6a83eb50-d6ec205a	0	gpt-5.6-terra	0.0
subscription	6a83ec3d-dcc5cce9	0	gpt-5.6-terra	0.0
subscription	6a83ed0f-ace3e6c9	0	gpt-5.6-terra	0.0
subscription	6a83fea2-763b5c5b	0	gpt-5.6-terra	0.0
subscription	6a84037c-4140698c	0	gpt-5.6-terra	0.0
subscription	6a8407cb-455454b8	0	gpt-5.6-terra	0.0
subscription	6a840857-de08702e	0	gpt-5.6-terra	0.0
subscription	6a8409df-a4be32d7	0	gpt-5.6-terra	0.0
subscription	6a8412c7-c43f5404	0	gpt-5.6-terra	0.0
subscription	6a8413c3-9e1cbbee	0	gpt-5.6-terra	0.0
subscription	6a8413c6-c68f0dac	0	gpt-5.6-terra	0.0
subscription	6a8416e7-151c258a	0	gpt-5.6-terra	0.0
subscription	6a8417c9-586332dd	0	gpt-5.6-terra	0.0
subscription	6a84a643-119a7eac	0	gpt-5.6-terra	0.0
subscription	6a84a84e-99c3f0c2	0	gpt-5.6-terra	0.0
subscription	6a84aea8-047ee2af	0	gpt-5.6-terra	0.0
subscription	6a84bb8d-3bc79db7	0	gpt-5.6-sol	0.0
subscription	6a84bfd8-fd5a2dae	0	gpt-5.6-terra	0.0
subscription	6a84c1ea-564163f6	0	gpt-5.6-luna	0.0
subscription	6a84c8a9-bf5c9db1	0	gpt-5.6-terra	0.0
subscription	6a84c907-a2c8c11d	0	gpt-5.6-terra	0.0
subscription	6a84cdd4-dd124bab	0	gpt-5.6-terra	0.0
subscription	6a84d5b9-ab33a55e	0	gpt-5.6-terra	0.0
subscription	6a84d8a5-569692b8	0	gpt-5.6-terra	0.0
subscription	6a84dbc2-aa15566e	0	gpt-5.6-terra	0.0
subscription	6a84df75-bbdb7689	0	gpt-5.6-terra	0.0
subscription	6a84f26c-8d75d782	0	gpt-5.6-terra	0.0
subscription	6a84f579-b7160ef8	0	gpt-5.6-terra	0.0
subscription	6a84f5e4-d33da1a4	0	gpt-5.6-terra	0.0
subscription	6a84f6a8-1f14f65c	0	gpt-5.6-terra	0.0
subscription	6a84f9d4-edcb94e2	0	gpt-5.6-terra	0.0
subscription	6a84fa5c-85309f17	0	gpt-5.6-terra	0.0
subscription	6a84fa5d-32166b25	0	gpt-5.6-terra	0.0
subscription	6a850585-3e6217af	0	gpt-5.6-terra	0.0
subscription	6a850fe5-07cd91a2	0	gpt-5.6-sol	0.0
