billing	card_id	codex_exit	model	usd
subscription	6a7165be-508c9b91	0	gpt-5.6-terra	0.0
subscription	6a7166c2-23b761ed	0	gpt-5.6-terra	0.0
subscription	6a7166c8-c16cba2d	0	gpt-5.6-terra	0.0
subscription	6a71672a-9d2e126e	0	gpt-5.6-terra	0.0
subscription	6a716807-13c5af65	0	gpt-5.6-terra	0.0
subscription	6a716b27-6c7bdc0e	0	gpt-5.6-terra	0.0
subscription	6a716b34-2fd12706	0	gpt-5.6-terra	0.0
subscription	6a716c46-98123613	0	gpt-5.6-terra	0.0
subscription	6a716e34-37cd9075	0	gpt-5.6-terra	0.0
subscription	6a716f34-b1b58f6d	0	gpt-5.6-terra	0.0
subscription	6a716fe6-6308d5b6	0	gpt-5.6-terra	0.0
subscription	6a7171ff-2aec2e30	0	gpt-5.6-sol	0.0
subscription	6a717913-4e2b8d19	0	gpt-5.6-sol	0.0
subscription	6a717c54-396db55c	0	gpt-5.6-sol	0.0
subscription	6a717ee2-f6fbe26b	0	gpt-5.6-terra	0.0
subscription	6a717fd1-ed942a04	0	gpt-5.6-sol	0.0
subscription	6a7181e3-0387bc56	0	gpt-5.6-terra	0.0
subscription	6a7184b5-2d7d7672	0	gpt-5.6-terra	0.0
subscription	6a718762-86234032	0	gpt-5.6-terra	0.0
subscription	6a7189c8-19af6491	0	gpt-5.6-sol	0.0
subscription	6a718f15-fb03d839	0	gpt-5.6-terra	0.0
subscription	6a718fc6-1b0ced0b	0	gpt-5.6-terra	0.0
subscription	6a7194f5-b1c1e105	0	gpt-5.6-terra	0.0
subscription	6a719591-75594ece	0	gpt-5.6-terra	0.0
subscription	6a7195c7-63392c76	0	gpt-5.6-luna	0.0
subscription	6a71973d-9e938457	0	gpt-5.6-terra	0.0
subscription	6a719781-5184ce61	0	gpt-5.6-terra	0.0
subscription	6a719dc1-06c9098e	0	gpt-5.6-sol	0.0
subscription	6a719fce-ea41d8a4	0	gpt-5.6-terra	0.0
subscription	6a71a77c-2ef33267	0	gpt-5.6-sol	0.0
subscription	6a72286a-5c9c7581		gpt-5.6-terra	0.0
subscription	6a722a32-5ad1487b	0	gpt-5.6-terra	0.0
subscription	6a722d47-aaf005ad	0	gpt-5.6-terra	0.0
subscription	6a722e09-d7232271	0	gpt-5.6-terra	0.0
subscription	6a722edb-2e08e41a	0	gpt-5.6-terra	0.0
subscription	6a72347a-f399a829	0	gpt-5.6-terra	0.0
subscription	6a7235b7-2c17304f	0	gpt-5.6-terra	0.0
subscription	6a7242e0-1840b76a	0	gpt-5.6-terra	0.0
