billing	card_id	codex_exit	model	usd
subscription	6a8a710e-273c6eb7	0	gpt-5.6-sol	0.0
subscription	6a8a732e-80d4a3b7	0	gpt-5.6-sol	0.0
subscription	6a8a7557-3ca25b77	0	gpt-5.6-sol	0.0
subscription	6a8a795a-1ccc0660	0	gpt-5.6-sol	0.0
subscription	6a8a7afe-67505bbf	0	gpt-5.6-sol	0.0
subscription	6a8a7eee-26a509ca	0	gpt-5.6-sol	0.0
subscription	6a8a8099-83fab6e5		gpt-5.6-sol	0.0
subscription	6a8a82a7-f9ba2607	0	gpt-5.6-sol	0.0
subscription	6a8a86cf-a590fdcd	0	gpt-5.6-sol	0.0
subscription	6a8a87a5-94a9fc17	0	gpt-5.6-terra	0.0
subscription	6a8a87ee-808729e3	0	gpt-5.6-sol	0.0
