model	step	usd
runpod:l40s	pod-create mj9n9qh2t31sk5	0.396065
runpod:l40s	pod-create m8k65jrsur6q6q	0.449497
runpod:l40s	pod-create ae9gz2r21d4pgi	0.302493
runpod:l40s	pod-create xzpb5t5a9afbar	0.941545
runpod:l40s	pod-create s68h0bj0m7faai	0.353545
runpod:l40s	pod-create anpe2tpupvih6z	0.437442
runpod:l40s	pod-create 9dd4nur6in3hqa	0.295427
runpod:l40s	pod-create 7041iaa95af4u1	0.001113
runpod:l40s	pod-create khtbw6bdura1qq	0.722227
runpod:l40s	pod-create igvqxqcrmltsig	1.801227
runpod:l40s	pod-create pmdrbbodffjbx8	0.097253
runpod:l40s	pod-create 0fg9c88gpjkd7f	0.186720
runpod:l40s	pod-create iw12lyi84um2b9	0.331564
