billing	card_id	codex_exit	model	usd
subscription	6a892a18-180c0eca	0	gpt-5.6-sol	0.0
subscription	6a894135-e14c197a	0	gpt-5.6-sol	0.0
subscription	6a894661-ca82972f	124	gpt-5.6-sol	0.0
subscription	6a89466f-c374cc66	0	gpt-5.6-sol	0.0
subscription	6a894cd8-bada55d6	0	gpt-5.6-sol	0.0
subscription	6a894f21-ef340314	0	gpt-5.6-sol	0.0
subscription	6a895474-f611b078	0	gpt-5.6-sol	0.0
subscription	6a895e7c-b3ce4582	0	gpt-5.6-sol	0.0
subscription	6a89601a-efa8d5ba	0	gpt-5.6-sol	0.0
subscription	6a8964eb-73592da4	0	gpt-5.6-sol	0.0
subscription	6a896b41-89096b7a	0	gpt-5.6-sol	0.0
subscription	6a8976e3-51d7ef85	124	gpt-5.6-sol	0.0
subscription	6a897b29-ab536b52	0	gpt-5.6-sol	0.0
subscription	6a8985bf-cea8ad11	0	gpt-5.6-sol	0.0
subscription	6a898f6a-2647cdbd	0	gpt-5.6-sol	0.0
subscription	6a899312-e341cb23	0	gpt-5.6-sol	0.0
subscription	6a899700-ca48b508	0	gpt-5.6-sol	0.0
subscription	6a89a58c-35aeaa34	0	gpt-5.6-sol	0.0
subscription	6a89a9e6-c8a78064	0	gpt-5.6-sol	0.0
subscription	6a89eeb5-7c8968e2		gpt-5.6-sol	0.0
subscription	6a89f640-cbdce2a8	0	gpt-5.6-sol	0.0
subscription	6a89f6d7-fa931dc1	0	gpt-5.6-sol	0.0
subscription	6a89f746-64455938	0	gpt-5.6-sol	0.0
subscription	6a89f755-c52a76bc	0	gpt-5.6-sol	0.0
subscription	6a89f7b4-ddc78c19	0	gpt-5.6-sol	0.0
subscription	6a89f80e-9486faf5	0	gpt-5.6-sol	0.0
subscription	6a89f8cd-449bf63b	0	gpt-5.6-sol	0.0
subscription	6a89fab2-e03f49ab	0	gpt-5.6-sol	0.0
