billing	card_id	codex_exit	model	usd
subscription	6a8fb8ff-245ad656	0	gpt-5.6-sol	0.0
subscription	6a8fbb5e-fab45e21	0	gpt-5.6-sol	0.0
subscription	6a8fbce8-cc91230c	0	gpt-5.6-sol	0.0
subscription	6a8fbed0-e5808925		gpt-5.6-sol	0.0
subscription	6a8fc0a2-c08ec50c	0	gpt-5.6-sol	0.0
subscription	6a8fc0c1-8f948b04	0	gpt-5.6-terra	0.0
subscription	6a8fc1bc-54925116	0	gpt-5.6-sol	0.0
subscription	6a8fc277-b29ebfff	0	gpt-5.6-terra	0.0
subscription	6a8fc4d4-968a0c7a	0	gpt-5.6-terra	0.0
subscription	6a8fc799-c4c97c28	0	gpt-5.6-sol	0.0
subscription	6a8fc875-3916dd2e	0	gpt-5.6-sol	0.0
subscription	6a8fdd7d-e8051eaa	0	gpt-5.6-sol	0.0
subscription	6a8fe6b7-4ac6562c	0	gpt-5.6-terra	0.0
subscription	6a8fe702-fe3e6dce	0	gpt-5.6-sol	0.0
subscription	6a8fefd7-ade111cf	0	gpt-5.6-sol	0.0
subscription	6a90acdb-16218a5c	0	gpt-5.6-sol	0.0
subscription	6a90add3-20add129	0	gpt-5.6-sol	0.0
subscription	6a90adeb-b28083e5	0	gpt-5.6-sol	0.0
subscription	6a90ae63-5e7fb093	0	gpt-5.6-sol	0.0
subscription	6a90ae67-baa601a6	0	gpt-5.6-sol	0.0
subscription	6a90ae82-7dab78c6	0	gpt-5.6-sol	0.0
subscription	6a90ae9b-a17e621e	0	gpt-5.6-terra	0.0
subscription	6a90aef0-c3a02192	0	gpt-5.6-sol	0.0
subscription	6a90af5e-c8112aba	0	gpt-5.6-sol	0.0
subscription	6a90afb2-6e287df5	0	gpt-5.6-sol	0.0
subscription	6a90b02c-4327904c	0	gpt-5.6-sol	0.0
subscription	6a90b049-996f0308	0	gpt-5.6-sol	0.0
subscription	6a90b08b-d1e424e1	0	gpt-5.6-sol	0.0
subscription	6a90b0a3-f8cb5069	0	gpt-5.6-sol	0.0
