model	step	usd
runpod:l40s	pod-create qu4jo4hh47mlfm	0.370167
runpod:l40s	pod-create v9s8ryddrcbk8b	0.351529
runpod:l40s	pod-create uvrzrjmrwfpdc7	0.390225
runpod:l40s	pod-create ab8qas95zt7158	0.148908
runpod:l40s	pod-create dgcrmmk8mt2ojz	0.449377
runpod:l40s	pod-create cikh8sisb7thl6	0.309834
runpod:l40s	pod-create pp12xdu7eb8212	0.338185
runpod:l40s	pod-create l6ymrhc8ga3293	0.320351
runpod:l40s	pod-create 2t5unauwgjzaeu	0.301854
runpod:l40s	pod-create 5tyy36comh9pty	0.269696
runpod:l40s	pod-create cnl675hpmqpm0b	0.301566
runpod:l40s	pod-create nhzelwwt70i8cx	0.308259
runpod:l40s	pod-create b8hxl9cm26qse4	0.287610
runpod:l40s	pod-create pk8p1eud41r3xr	0.311980
runpod:l40s	pod-create ix3b1pa63q8ua3	0.355089
runpod:l40s	pod-create y837e2hxctk0gk	0.332638
runpod:l40s	pod-create j2zej0yd1nclot	0.320613
runpod:l40s	pod-create xdbs4haupr95or	0.142175
runpod:l40s	pod-create 8bi3qae4icrz3t	0.105468
runpod:l40s	pod-create d84dzamf8gccbu	0.084069
runpod:l40s	pod-create symlq3jynb83a8	0.123379
runpod:l40s	pod-create bwdhqfvt72a0d9	0.273771
