billing	card_id	codex_exit	model	usd
subscription	6a7b9f6e-b1198cea	0	gpt-5.6-terra	0.0
subscription	6a7bc871-b1e9bf9a	0	gpt-5.6-terra	0.0
subscription	6a7bc8b8-0b979a5f	1	gpt-5.6-sol	0.0
subscription	6a7bca70-29b2ccfd	0	gpt-5.6-terra	0.0
subscription	6a7bcc01-53a80753	0	gpt-5.6-luna	0.0
subscription	6a7bcd0b-bf559304	0	gpt-5.6-terra	0.0
subscription	6a7bce06-d43cf9d2	0	gpt-5.6-terra	0.0
subscription	6a7bce22-28c7d5f7	0	gpt-5.6-terra	0.0
subscription	6a7bd012-1b2190ed	0	gpt-5.6-luna	0.0
subscription	6a7bd058-a15bcbcd	0	gpt-5.6-sol	0.0
subscription	6a7bd149-df7649eb	0	gpt-5.6-terra	0.0
subscription	6a7bd166-e0e00915	0	gpt-5.6-terra	0.0
subscription	6a7bd223-0dafe1e0	0	gpt-5.6-luna	0.0
subscription	6a7bd4a4-9256c8f8	0	gpt-5.6-terra	0.0
subscription	6a7bd514-1a9e8571	0	gpt-5.6-luna	0.0
subscription	6a7bd617-7ee7311e	0	gpt-5.6-terra	0.0
subscription	6a7bd6ed-71e13f82	0	gpt-5.6-luna	0.0
subscription	6a7bd93b-7358be60	0	gpt-5.6-terra	0.0
subscription	6a7bda8d-8b4a82a3	0	gpt-5.6-terra	0.0
subscription	6a7bdb6e-fb32d829	0	gpt-5.6-terra	0.0
subscription	6a7bdc4e-0fe03af1	0	gpt-5.6-terra	0.0
subscription	6a7bdd39-7126016a	0	gpt-5.6-terra	0.0
subscription	6a7bde28-bc306083	0	gpt-5.6-terra	0.0
subscription	6a7bdf5c-cf8f3fc5	0	gpt-5.6-terra	0.0
