billing	card_id	codex_exit	model	usd
subscription	6a70feda-36a687f6	0	gpt-5.6-terra	0.0
subscription	6a7101fc-2cc1766a	0	gpt-5.6-luna	0.0
subscription	6a710413-c7268c1d	0	gpt-5.6-terra	0.0
subscription	6a71076a-ea5a9151	0	gpt-5.6-terra	0.0
subscription	6a71087b-6eb2103c	0	gpt-5.6-terra	0.0
subscription	6a710975-2e425982	0	gpt-5.6-terra	0.0
subscription	6a710c15-d3c99909	0	gpt-5.6-terra	0.0
subscription	6a710e8e-0eb7586d	0	gpt-5.6-sol	0.0
subscription	6a710f6c-57922a5e	0	gpt-5.6-terra	0.0
subscription	6a711277-6c150999	0	gpt-5.6-terra	0.0
subscription	6a711436-73fe45dc	0	gpt-5.6-terra	0.0
subscription	6a7114c7-d9962769	0	gpt-5.6-terra	0.0
subscription	6a711921-c4b0a426	0	gpt-5.6-terra	0.0
subscription	6a711a6f-48e762aa	0	gpt-5.6-terra	0.0
subscription	6a711d33-8517278c	0	gpt-5.6-sol	0.0
subscription	6a7120fc-bf6bf2f8	0	gpt-5.6-terra	0.0
subscription	6a712347-6d3ca069	0	gpt-5.6-terra	0.0
subscription	6a712cff-72366da0	0	gpt-5.6-terra	0.0
subscription	6a712dd0-12b6e71f	0	gpt-5.6-terra	0.0
